station_id,easting,northing,utm_zone,elevation,bouguer_anomaly,magnetic_nt,gravity_type,unit
J0038,718230.8,6528545.5,19S,1800,-0.227,-0.04,bouguer_anomaly,mGal
J0039,718230.8,6529818.2,19S,1800,-1.052,11.44,bouguer_anomaly,mGal
J0040,718230.8,6531090.9,19S,1800,-2.512,32.3,bouguer_anomaly,mGal
J0041,718230.8,6532363.6,19S,1800,-2.888,41.64,bouguer_anomaly,mGal
J0042,718230.8,6533636.4,19S,1800,-1.66,15.08,bouguer_anomaly,mGal
J0043,718230.8,6534909.1,19S,1800,-0.457,1.43,bouguer_anomaly,mGal
J0044,718230.8,6536181.8,19S,1800,-0.003,1.41,bouguer_anomaly,mGal
J0045,718230.8,6537454.5,19S,1800,-0.005,1.34,bouguer_anomaly,mGal
J0046,718230.8,6538727.3,19S,1800,-0.017,2.1,bouguer_anomaly,mGal
J0047,718230.8,6540000.0,19S,1800,-0.0,1.17,bouguer_anomaly,mGal
J0048,719307.7,6526000.0,19S,1800,-0.066,0.69,bouguer_anomaly,mGal
J0049,719307.7,6527272.7,19S,1800,-0.122,-4.02,bouguer_anomaly,mGal
J0050,719307.7,6528545.5,19S,1800,-0.396,-0.05,bouguer_anomaly,mGal
J0051,719307.7,6529818.2,19S,1800,-1.865,25.57,bouguer_anomaly,mGal
J0052,719307.7,6531090.9,19S,1800,-4.53,81.36,bouguer_anomaly,mGal
J0053,719307.7,6532363.6,19S,1800,-5.227,106.12,bouguer_anomaly,mGal
J0054,719307.7,6533636.4,19S,1800,-2.984,43.03,bouguer_anomaly,mGal
J0055,719307.7,6534909.1,19S,1800,-0.787,6.87,bouguer_anomaly,mGal
J0056,719307.7,6536181.8,19S,1800,-0.162,0.1,bouguer_anomaly,mGal
J0057,719307.7,6537454.5,19S,1800,-0.005,-2.11,bouguer_anomaly,mGal
J0058,719307.7,6538727.3,19S,1800,0.013,-1.72,bouguer_anomaly,mGal
J0059,719307.7,6540000.0,19S,1800,0.049,0.39,bouguer_anomaly,mGal
J0060,720384.6,6526000.0,19S,1800,0.003,-1.18,bouguer_anomaly,mGal
J0061,720384.6,6527272.7,19S,1800,-0.046,-3.94,bouguer_anomaly,mGal
J0062,720384.6,6528545.5,19S,1800,-0.466,2.68,bouguer_anomaly,mGal
J0063,720384.6,6529818.2,19S,1800,-2.122,25.34,bouguer_anomaly,mGal
J0064,720384.6,6531090.9,19S,1800,-4.919,94.2,bouguer_anomaly,mGal
J0065,720384.6,6532363.6,19S,1800,-5.68,119.51,bouguer_anomaly,mGal
J0066,720384.6,6533636.4,19S,1800,-3.196,45.66,bouguer_anomaly,mGal
J0067,720384.6,6534909.1,19S,1800,-0.823,9.42,bouguer_anomaly,mGal
J0068,720384.6,6536181.8,19S,1800,-0.122,-0.26,bouguer_anomaly,mGal
J0069,720384.6,6537454.5,19S,1800,-0.016,-1.95,bouguer_anomaly,mGal
J0070,720384.6,6538727.3,19S,1800,0.055,-1.09,bouguer_anomaly,mGal
J0071,720384.6,6540000.0,19S,1800,-0.003,-1.59,bouguer_anomaly,mGal
J0072,721461.5,6526000.0,19S,1800,-0.033,-2.56,bouguer_anomaly,mGal
J0073,721461.5,6527272.7,19S,1800,0.037,-0.28,bouguer_anomaly,mGal
J0074,721461.5,6528545.5,19S,1800,-0.215,1.01,bouguer_anomaly,mGal
J0075,721461.5,6529818.2,19S,1800,-1.331,11.2,bouguer_anomaly,mGal
J0076,721461.5,6531090.9,19S,1800,-3.134,46.49,bouguer_anomaly,mGal
J0077,721461.5,6532363.6,19S,1800,-3.643,58.54,bouguer_anomaly,mGal
J0078,721461.5,6533636.4,19S,1800,-2.128,22.82,bouguer_anomaly,mGal
J0079,721461.5,6534909.1,19S,1800,-0.486,1.94,bouguer_anomaly,mGal
J0080,721461.5,6536181.8,19S,1800,-0.129,0.82,bouguer_anomaly,mGal
J0081,721461.5,6537454.5,19S,1800,0.065,-2.91,bouguer_anomaly,mGal
J0082,721461.5,6538727.3,19S,1800,-0.011,-1.26,bouguer_anomaly,mGal
J0083,721461.5,6540000.0,19S,1800,-0.088,1.47,bouguer_anomaly,mGal
J0084,722538.5,6526000.0,19S,1800,-0.002,0.14,bouguer_anomaly,mGal
J0085,722538.5,6527272.7,19S,1800,-0.048,0.92,bouguer_anomaly,mGal
J0086,722538.5,6528545.5,19S,1800,-0.128,-0.07,bouguer_anomaly,mGal
J0087,722538.5,6529818.2,19S,1800,-0.553,0.22,bouguer_anomaly,mGal
J0088,722538.5,6531090.9,19S,1800,-1.126,9.4,bouguer_anomaly,mGal
J0089,722538.5,6532363.6,19S,1800,-1.377,13.19,bouguer_anomaly,mGal
J0090,722538.5,6533636.4,19S,1800,-0.812,4.46,bouguer_anomaly,mGal
J0091,722538.5,6534909.1,19S,1800,-0.187,0.13,bouguer_anomaly,mGal
J0092,722538.5,6536181.8,19S,1800,-0.037,0.08,bouguer_anomaly,mGal
J0093,722538.5,6537454.5,19S,1800,0.057,1.36,bouguer_anomaly,mGal
J0094,722538.5,6538727.3,19S,1800,0.019,-1.13,bouguer_anomaly,mGal
J0095,722538.5,6540000.0,19S,1800,-0.069,1.9,bouguer_anomaly,mGal
J0096,723615.4,6526000.0,19S,1800,0.048,-0.28,bouguer_anomaly,mGal
J0097,723615.4,6527272.7,19S,1800,0.025,1.56,bouguer_anomaly,mGal
J0098,723615.4,6528545.5,19S,1800,0.018,1.86,bouguer_anomaly,mGal
J0099,723615.4,6529818.2,19S,1800,-0.137,3.3,bouguer_anomaly,mGal
J0100,723615.4,6531090.9,19S,1800,-0.336,2.77,bouguer_anomaly,mGal
J0101,723615.4,6532363.6,19S,1800,-0.294,3.07,bouguer_anomaly,mGal
J0102,723615.4,6533636.4,19S,1800,-0.087,3.52,bouguer_anomaly,mGal
J0103,723615.4,6534909.1,19S,1800,-0.107,-3.3,bouguer_anomaly,mGal
J0104,723615.4,6536181.8,19S,1800,0.034,-2.03,bouguer_anomaly,mGal
J0105,723615.4,6537454.5,19S,1800,-0.001,1.68,bouguer_anomaly,mGal
J0106,723615.4,6538727.3,19S,1800,-0.082,-4.22,bouguer_anomaly,mGal
J0107,723615.4,6540000.0,19S,1800,0.013,0.09,bouguer_anomaly,mGal
J0108,724692.3,6526000.0,19S,1800,-0.012,0.08,bouguer_anomaly,mGal
J0109,724692.3,6527272.7,19S,1800,-0.043,-3.03,bouguer_anomaly,mGal
J0110,724692.3,6528545.5,19S,1800,-0.012,-1.94,bouguer_anomaly,mGal
J0111,724692.3,6529818.2,19S,1800,-0.098,1.02,bouguer_anomaly,mGal
J0112,724692.3,6531090.9,19S,1800,-0.041,0.86,bouguer_anomaly,mGal
J0113,724692.3,6532363.6,19S,1800,-0.093,-1.26,bouguer_anomaly,mGal
J0114,724692.3,6533636.4,19S,1800,-0.075,-1.75,bouguer_anomaly,mGal
J0115,724692.3,6534909.1,19S,1800,0.003,-1.56,bouguer_anomaly,mGal
J0116,724692.3,6536181.8,19S,1800,0.017,0.68,bouguer_anomaly,mGal
J0117,724692.3,6537454.5,19S,1800,0.101,-2.79,bouguer_anomaly,mGal
J0118,724692.3,6538727.3,19S,1800,0.044,-0.18,bouguer_anomaly,mGal
J0119,724692.3,6540000.0,19S,1800,-0.001,-2.9,bouguer_anomaly,mGal
J0120,725769.2,6526000.0,19S,1800,-0.023,1.49,bouguer_anomaly,mGal
J0121,725769.2,6527272.7,19S,1800,-0.004,0.16,bouguer_anomaly,mGal
J0122,725769.2,6528545.5,19S,1800,-0.015,2.31,bouguer_anomaly,mGal
J0123,725769.2,6529818.2,19S,1800,-0.002,-4.4,bouguer_anomaly,mGal
J0124,725769.2,6531090.9,19S,1800,-0.038,-3.94,bouguer_anomaly,mGal
J0125,725769.2,6532363.6,19S,1800,-0.166,-1.06,bouguer_anomaly,mGal
J0126,725769.2,6533636.4,19S,1800,0.065,0.09,bouguer_anomaly,mGal
J0127,725769.2,6534909.1,19S,1800,-0.059,-1.88,bouguer_anomaly,mGal
J0128,725769.2,6536181.8,19S,1800,0.056,0.32,bouguer_anomaly,mGal
J0129,725769.2,6537454.5,19S,1800,0.002,-0.11,bouguer_anomaly,mGal
J0130,725769.2,6538727.3,19S,1800,0.002,1.61,bouguer_anomaly,mGal
J0131,725769.2,6540000.0,19S,1800,0.028,0.43,bouguer_anomaly,mGal
J0132,726846.2,6526000.0,19S,1800,-0.052,1.02,bouguer_anomaly,mGal
J0133,726846.2,6527272.7,19S,1800,-0.034,2.19,bouguer_anomaly,mGal
J0134,726846.2,6528545.5,19S,1800,-0.064,-0.28,bouguer_anomaly,mGal
J0135,726846.2,6529818.2,19S,1800,-0.0,-2.65,bouguer_anomaly,mGal
J0136,726846.2,6531090.9,19S,1800,0.086,2.92,bouguer_anomaly,mGal
J0137,726846.2,6532363.6,19S,1800,-0.023,1.54,bouguer_anomaly,mGal
J0138,726846.2,6533636.4,19S,1800,0.019,-5.23,bouguer_anomaly,mGal
J0139,726846.2,6534909.1,19S,1800,0.012,-0.12,bouguer_anomaly,mGal
J0140,726846.2,6536181.8,19S,1800,0.004,-2.15,bouguer_anomaly,mGal
J0141,726846.2,6537454.5,19S,1800,-0.013,-0.36,bouguer_anomaly,mGal
J0142,726846.2,6538727.3,19S,1800,0.059,0.67,bouguer_anomaly,mGal
J0143,726846.2,6540000.0,19S,1800,-0.0,3.06,bouguer_anomaly,mGal
J0144,727923.1,6526000.0,19S,1800,-0.028,-0.78,bouguer_anomaly,mGal
J0145,727923.1,6527272.7,19S,1800,-0.091,3.14,bouguer_anomaly,mGal
J0146,727923.1,6528545.5,19S,1800,0.048,1.83,bouguer_anomaly,mGal
J0147,727923.1,6529818.2,19S,1800,0.033,0.22,bouguer_anomaly,mGal
J0148,727923.1,6531090.9,19S,1800,0.011,-0.5,bouguer_anomaly,mGal
J0149,727923.1,6532363.6,19S,1800,-0.01,0.11,bouguer_anomaly,mGal
J0150,727923.1,6533636.4,19S,1800,0.076,1.11,bouguer_anomaly,mGal
J0151,727923.1,6534909.1,19S,1800,-0.003,-1.16,bouguer_anomaly,mGal
J0152,727923.1,6536181.8,19S,1800,-0.032,3.21,bouguer_anomaly,mGal
J0153,727923.1,6537454.5,19S,1800,0.025,0.14,bouguer_anomaly,mGal
J0154,727923.1,6538727.3,19S,1800,-0.017,-2.22,bouguer_anomaly,mGal
J0155,727923.1,6540000.0,19S,1800,-0.003,1.75,bouguer_anomaly,mGal
J0156,729000.0,6526000.0,19S,1800,-0.02,-0.45,bouguer_anomaly,mGal
J0157,729000.0,6527272.7,19S,1800,-0.011,0.22,bouguer_anomaly,mGal
J0158,729000.0,6528545.5,19S,1800,-0.08,-0.47,bouguer_anomaly,mGal
J0159,729000.0,6529818.2,19S,1800,-0.043,1.77,bouguer_anomaly,mGal
J0160,729000.0,6531090.9,19S,1800,-0.039,1.15,bouguer_anomaly,mGal
J0161,729000.0,6532363.6,19S,1800,0.076,-0.63,bouguer_anomaly,mGal
J0162,729000.0,6533636.4,19S,1800,-0.03,0.38,bouguer_anomaly,mGal
J0163,729000.0,6534909.1,19S,1800,-0.0,-1.99,bouguer_anomaly,mGal
J0164,729000.0,6536181.8,19S,1800,0.023,4.03,bouguer_anomaly,mGal
J0165,729000.0,6537454.5,19S,1800,-0.013,-0.41,bouguer_anomaly,mGal
J0166,729000.0,6538727.3,19S,1800,-0.052,0.64,bouguer_anomaly,mGal
J0167,729000.0,6540000.0,19S,1800,-0.062,-2.21,bouguer_anomaly,mGal
