easting,northing,elevation,bouguer_anomaly,unit
540.00,360.00,432.03400,-0.81901,mGal
600.00,360.00,435.47550,-0.40174,mGal
0.00,420.00,430.96660,-0.26119,mGal
60.00,420.00,428.41050,-0.36467,mGal
120.00,420.00,427.05090,-0.51070,mGal
180.00,420.00,426.97450,-0.70938,mGal
240.00,420.00,427.00930,-0.97736,mGal
300.00,420.00,427.02340,-1.21170,mGal
360.00,420.00,426.94770,-1.30529,mGal
420.00,420.00,427.00270,-1.36288,mGal
480.00,420.00,428.97810,-1.13663,mGal
540.00,420.00,432.55710,-0.64287,mGal
600.00,420.00,436.53820,-0.33802,mGal
0.00,480.00,431.22770,-0.20623,mGal
60.00,480.00,428.60480,-0.27248,mGal
120.00,480.00,427.12360,-0.35805,mGal
180.00,480.00,426.96240,-0.46501,mGal
240.00,480.00,427.01700,-0.59569,mGal
300.00,480.00,427.02180,-0.71105,mGal
360.00,480.00,426.90940,-0.76765,mGal
420.00,480.00,426.98480,-0.79784,mGal
480.00,480.00,429.32290,-0.66711,mGal
540.00,480.00,433.32020,-0.41485,mGal
600.00,480.00,437.83900,-0.25840,mGal
0.00,540.00,431.37740,-0.16028,mGal
60.00,540.00,428.84290,-0.20195,mGal
120.00,540.00,427.19460,-0.25150,mGal
180.00,540.00,426.92920,-0.30752,mGal
240.00,540.00,427.01920,-0.36472,mGal
300.00,540.00,426.99910,-0.41131,mGal
360.00,540.00,426.80650,-0.43427,mGal
420.00,540.00,427.24190,-0.41387,mGal
480.00,540.00,430.02040,-0.34416,mGal
540.00,540.00,434.78870,-0.26040,mGal
600.00,540.00,440.10680,-0.18990,mGal
0.00,600.00,431.41630,-0.12392,mGal
60.00,600.00,428.97600,-0.15003,mGal
120.00,600.00,427.32630,-0.17896,mGal
180.00,600.00,426.92660,-0.20906,mGal
240.00,600.00,427.01340,-0.23665,mGal
300.00,600.00,426.95720,-0.25662,mGal
360.00,600.00,426.80830,-0.26210,mGal
420.00,600.00,427.76710,-0.24543,mGal
480.00,600.00,430.77180,-0.21241,mGal
540.00,600.00,435.48020,-0.17474,mGal
600.00,600.00,441.07430,-0.13947,mGal
